Lang	Family	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
125390	bhw	4   4   4   4   	5   	6   	7   	8   8   	9   	10   10   	1   	2   	3   
139353	swe			28   	27   	31   	24   	23   	29   	26   	25   
141212	bhw	30   	5   	6   	7   		9   		1   	2   	3   
139352	bhw	4   	5   5   	6   	7   7   	8   31   	9   	10   	1   	2   2   2   	3   3   
129461	bhw	4   	5   5   	28   6   	7   	8   31   8   	24   	10   10   10   10   10   	1   	2   	3   3   3   3   
131375	bhw	4   	5   	6   	3   7   	8   8   	9   9   9   	10   10   	1   	2   	3   3   
111959	bhw	4   30   4   4   4   	5   5   	6   28   	7   	8   8   8   	9   	10   10   10   10   	1   1   	2   	3   
102753	bhw	4   4   	5   5   	6   	7   	8   	9   	10   10   	1   	2   2   	3   3   
139350	bhw	4   	5   	6   6   	7   7   	8   	9   	10   10   	1   	2   	3   
102752	bhw	4   	21   5   5   5   21   	6   6   6   6   	7   	8   8   8   8   8   	9   9   24   	10   10   	1   1   1   	2   	3   3   
137280	bhw	4   	5   	6   	7   	8   	9   	10   	1   	3   	3   
87430	bhw	4   	5   5   	6   6   6   	7   	8   8   	9   	10   	1   1   1   1   	2   	3   3   3   
125387	bhw		5   	6   	7   	8   	9   9   	10   	1   	2   	3   3   
87432	bhw	4   	5   5   	6   6   6   	7   	8   8   	9   	10   10   10   	1   1   	2   	3   
135307	swe	30   	21   	28   	7   27   	31   8   	24   	23   	29   	26   	3   3   
135306	bhw	4   	5   	6   	7   	8   		10   	1   	2   2   2   	3   
125385	swe	30   	5   	28   	27   	8   	9   	23   	29   	26   	3   3   
90603	bhw	4   4   	5   	6   6   	7   	8   8   	9   	10   	1   1   	3   	3   
88973	swe	30   4   	5   	6   	7   7   	31   31   	9   3   	23   	29   1   1   	26   2   26   	3   
141211	bhw	4   	5   22   	6   	7   7   7   	8   	9   9   9   	10   10   	1   	2   2   2   	3   3   3   3   
141210	bhw	4   	5   5   	6   	7   7   7   	8   8   8   8   	9   	10   10   	1   1   	2   	3   
137277	swe	30   	21   5   5   	28   6   	7   	31   	9   9   	23   		26   2   	3   
133354	bhw	4   30   	5   5   21   	6   6   	7   7   	8   8   8   8   8   8   	9   	10   10   10   10   	1   	2   	3   3   3   3   
141209	swe	4   	21   5   5   	28   	27   7   	8   8   	9   	10   	29   	2   2   2   	25   3   3   
139349	bhw	4   4   	5   5   	6   6   	7   7   	8   	9   9   	10   10   10   	1   1   	2   2   2   2   	3   
139348	bhw	4   	5   22   	6   	7   7   7   	8   	9   9   9   	10   10   	1   	2   2   2   	3   3   3   3   
135303	bhw	30   	22   5   5   	6   6   6   	27   	8   8   	9   9   	23   10   10   10   	1   1   1   	2   2   2   	3   25   3   
99223	bhw	4   	5   5   5   5   5   5   5   5   	6   	7   	8   8   8   	9   9   9   9   	10   	1   1   	2   2   	3   3   3   3   3   3   
123390	bhw	4   4   	5   5   5   	6   	2   	31   8   	9   	10   10   	1   	2   2   2   	3   
135302	swe		21   5   	28   	27   	31   8   8   8   	24   	10   		2   2   2   	25   3   
125381	bhw	4   4   	5   	6   6   	7   27   7   		9   9   24   24   	10   10   23   	1   1   29   	2   	3   25   
115679	bhw	4   	5   	6   	7   7   7   	8   	9   	10   	1   	2   	3   
125380	bhw		5   	6   	7   	8   8   	9   9   9   	10   10   	1   	2   	3   3   
95720	bhw	4   30   4   4   	5   5   5   5   5   5   5   	6   6   6   	7   	8   8   8   8   8   8   	9   24   9   9   9   	10   	1   1   1   29   	3   2   2   3   2   	3   3   3   3   
113858	bhw	4   30   4   	5   5   5   5   	6   	7   	8   	9   	10   6   	1   1   	2   	3   
125379	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
108322	bhw	4   	5   5   	6   28   6   	7   	8   	24   	10   	1   	2   	3   
137276	bhw	4   30   4   	5   5   5   5   22   	6   	27   7   	8   31   31   	9   9   	10   8   	1   	2   2   2   	3   3   3   
133353	swe	30   	5   	28   	27   	31   	24   25   	23   	29   	2   	3   3   
121408	swe	4   4   	21   5   5   5   	28   	27   7   	8   8   8   8   	24   9   	10   10   	29   	2   2   7   2   	25   3   3   25   
93954	swe	4   	22   	28   	7   	31   		23   		2   	3   
137275	swe	4   		28   	7   	31   	9   	23   23   10   	29   	26   2   26   	3   
141208	bhw	4   	5   5   	6   	7   	8   	9   	10   10   	1   	2   	3   
141207	swe	30   30   30   4   	5   5   5   5   	28   28   6   	27   7   7   7   7   7   	8   8   	24   9   9   	23   10   10   	29   1   	26   26   26   2   	3   3   3   3   25   
102747	bhw	30   	5   5   	6   	7   7   	8   	9   	10   23   23   10   	1   	26   26   	3   25   
121407	swe	30   	21   22   22   	6   	27   	31   8   8   	24   	23   	29   	3   	3   3   3   
111950	bhw	4   	5   5   5   5   5   	6   	7   	31   8   	9   	10   10   	1   	2   2   2   	3   25   3   
131368	bhw	4   	5   	6   	7   7   	8   8   	9   9   	10   	1   	2   	3   
141206	bhw	4   	5   5   	6   6   	7   7   2   	8   8   	9   9   	10   10   	1   	2   	3   3   
141205	bhw	30   	5   	6   	27   3   	8   	9   	10   	1   1   1   	2   2   	25   
135296	bhw		22   	6   	7   	8   	9   	10   	1   	2   	3   3   
137271	bhw	4   	5   	6   6   	7   	8   8   	9   9   	10   10   10   10   23   	1   1   	2   2   2   	3   3   3   
141204	bhw	4   	22   	6   6   	27   27   	8   8   8   	9   9   9   	10   10   10   	1   	2   	3   
139344	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   3   
104489	bhw	4   30   	5   5   5   	6   	27   	8   31   	9   9   9   	10   10   10   10   	1   	26   	3   3   
97415	bhw	4   	5   5   5   	6   6   6   	7   7   		9   9   9   	10   	1   1   29   	2   2   2   	3   3   3   
139343	bhw	4   	5   	6   	7   7   	8   	9   9   9   	10   10   10   	1   	2   2   	3   3   
117614	bhw	4   	5   	6   	7   	8   	9   9   	10   	1   	2   3   3   	3   
139341	swe	30   30   	21   5   5   5   	6   6   28   	7   7   	31   31   	24   9   9   	23   10   10   10   10   	1   	2   	3   
135293	bhw	4   4   4   	5   5   5   	6   	7   7   	8   	9   9   9   9   	10   	1   	2   3   2   	3   3   3   
141203	bhw	4   	5   5   	6   6   28   	7   	8   8   	9   9   9   9   	10   	1   1   1   1   1   	2   26   2   	3   25   
90586	bhw	4   4   	5   	6   	7   7   	8   	9   9   	10   10   	1   	2   3   2   	3   3   3   3   
137267	bhw	4   	5   	6   6   	7   	8   	9   	10   	1   	2   	3   
137266	swe	30   	22   5   21   5   21   21   	28   	7   	31   31   	24   	23   10   	1   1   	26   	25   3   
133345	swe	30   4   4   	5   21   	6   	25   27   7   	8   8   	24   	23   	1   1   1   1   	25   26   2   	3   3   25   3   
141202	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
141201	bhw	4   	5   5   5   21   5   	6   6   	7   7   7   	8   8   31   	9   9   	10   10   10   	1   	2   	3   3   3   
129448	bhw	4   30   	5   	6   	7   	8   	9   9   9   	10   10   	1   1   	2   	3   
139339	bhw	4   	5   5   	6   	7   	8   	9   	10   10   	1   	2   	3   
110077	bhw	4   	5   	6   	7   	8   	9   9   	10   	1   	2   	3   
141200	bhw	4   	5   	6   	3   7   	8   8   	9   9   9   	10   	1   	2   	3   3   
139337	bhw	4   1   4   	5   5   5   	6   	7   7   	8   	9   24   9   	10   10   	1   1   1   29   	2   	3   
111938	bhw	4   4   	21   	6   	7   	8   31   	9   9   9   	10   10   10   	29   29   1   	2   26   	3   
131360	bhw	4   	5   5   	6   	7   7   	8   8   	9   	10   10   10   	1   	2   	3   3   
95707	bhw	4   	5   5   5   	6   	7   	8   8   8   	9   	10   	1   	2   	3   
137264	bhw	4   	5   5   5   	6   	7   	8   	9   	10   10   	1   	7   	3   
95706	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   1   	3   	3   
104483	bhw	4   	5   	6   	7   	8   	9   	10   10   10   10   	1   	2   2   	3   
141199	bhw	4   	5   5   	6   6   	7   	8   	9   9   9   9   	10   	1   1   1   1   	2   26   2   	3   25   
90579	bhw	4   	5   5   5   5   	6   6   		8   	9   	10   10   	1   	2   	3   
111932	bhw	4   	5   	6   	7   	8   8   8   8   8   	9   	10   10   	1   	2   	3   
135286	bhw	4   4   30   4   4   4   4   	5   5   5   5   21   5   21   5   	6   6   6   6   	7   7   7   	8   8   8   8   	9   24   	10   10   10   	1   1   	2   	25   3   3   3   
139333	bhw	4   4   4   4   	5   5   5   5   	6   6   	7   7   7   7   7   	8   	9   	10   	1   	2   2   26   	3   3   3   
141198	bhw	4   4   	5   5   5   5   5   5   5   5   	28   6   	7   27   7   7   7   	8   	9   9   	10   10   	1   	2   2   2   2   2   2   	3   3   25   3   3   3   3   
141197	bhw	4   	5   	6   	7   7   	8   	9   	10   10   	1   	2   	3   
88856	swe		22   		7   	31   	24   	23   	29   	26   	25   
129445	bhw	30   	5   5   	6   		8   		10   	1   	2   	3   3   25   
104479	bhw	4   	5   5   	6   	7   7   	8   	9   	10   	1   	2   2   2   2   26   	3   3   
129443	bhw	4   	5   5   5   	6   6   6   	7   	8   8   	9   	10   23   	1   1   1   	2   2   2   	3   
99203	bhw	4   	5   	6   	27   	8   8   	9   	10   23   	1   1   	2   	3   
131355	bhw	4   4   	5   21   	6   6   	7   	8   	9   	10   	1   	2   	3   3   
123377	bhw	4   4   4   	5   22   5   5   	28   	27   	8   8   	9   24   9   9   	23   10   10   10   	1   1   	2   2   2   	3   25   
88864	bhw	4   4   	5   	6   6   	7   	8   	9   9   9   	10   	1   	2   2   	3   
139331	bhw	4   4   4   	5   5   	6   	7   	8   8   8   	9   9   	10   10   10   10   	1   1   1   	3   2   2   	3   
139330	bhw	30   30   	22   	6   	27   7   7   7   	8   8   	24   9   	23   10   10   	1   1   1   1   1   	2   2   2   	3   3   3   
88867	swe	30   	21   	28   6   	27   7   	31   8   	24   9   	23   10   10   10   10   	29   	26   	3   3   
139329	bhw	4   	5   5   5   21   5   	6   6   	7   7   7   	8   8   31   	9   	10   10   10   	1   	2   	3   3   3   
88869	swe	4   	21   5   	6   	7   	31   	24   24   	23   	29   1   	3   	25   
92201	bhw	4   	5   	6   6   6   	7   	8   8   	9   9   	10   10   	1   	2   	3   3   
131353	bhw	4   4   	5   5   5   22   5   	6   28   6   	7   27   7   7   	8   8   	9   	23   	1   	2   2   2   26   2   7   2   	3   3   3   3   
117600	bhw	4   	5   	6   6   28   	7   7   7   	8   8   	9   	10   	1   1   	2   	3   3   
133341	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
139328	bhw	4   	5   9   	6   	7   	8   8   8   	9   24   	10   10   10   	1   	3   2   26   	3   25   3   
110069	bhw	4   4   	5   5   5   	6   6   6   	27   7   	8   8   	9   9   	10   6   	1   1   	2   2   2   	3   3   
102733	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   3   
139327	bhw	4   	5   5   	6   6   	7   	8   	9   9   9   9   	10   	1   1   1   1   	2   26   2   	3   25   
141196	bhw	4   	5   	6   	7   7   	8   	9   	10   	1   	2   	3   
137261	bhw	4   	5   5   	6   	7   27   	8   	9   24   9   	10   10   	1   	2   2   26   	3   3   
121392	bhw	4   4   	5   5   	6   	7   7   	8   	9   	10   	1   1   1   	2   	2   
137260	bhw	4   4   	5   5   5   	6   6   	7   7   	8   	9   9   9   	10   10   	1   	2   	3   
137259	bhw	4   	5   	6   		8   		10   	1   	2   	2   
101003	bhw	4   4   	5   5   5   5   5   22   5   5   	6   6   6   	7   7   7   	8   8   8   	9   24   9   	10   10   10   10   10   	1   1   	2   2   2   2   2   26   2   	3   3   3   
141195	swe	30   	22   5   	28   	27   	31   31   	24   9   	23   10   	29   	2   	25   
129439	bhw	4   	5   	6   6   	7   	8   	9   9   	10   	1   	2   	3   3   
141194	bhw	4   	22   	6   	7   	8   	9   	10   	1   	2   	3   
90564	bhw	4   	5   	6   	7   7   	8   	9   	10   	1   	2   	3   3   
141193	swe	30   	21   22   	6   	27   	31   8   8   	24   	23   	29   	3   	3   
139324	swe	30   	5   21   5   5   	28   6   	7   	8   	24   	23   	29   	2   	3   
90562	bhw	4   4   	5   5   5   5   	6   6   	7   3   	8   8   	9   	10   10   10   	1   	2   2   	3   3   3   
88894	bhw	4   4   	5   5   	6   	7   7   7   7   7   7   	8   	9   9   	10   	1   1   1   1   	2   2   2   2   2   	3   
131346	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   3   2   
139322	bhw	4   4   	5   5   5   5   5   5   5   5   	28   6   	7   27   7   7   7   	8   	9   9   	10   10   	1   	2   2   2   2   2   2   	3   3   25   3   3   3   3   
135279	bhw	4   	5   5   	6   	7   	8   	3   9   9   	10   10   	1   	2   	
141192	bhw	4   4   4   4   4   	5   5   5   	6   6   	7   7   7   7   	8   8   8   8   	9   9   9   9   	10   10   10   10   10   	1   1   	2   2   	3   3   3   3   3   
125357	bhw	4   	5   5   5   5   5   	6   	7   	8   8   	9   9   	10   10   10   10   10   	1   	2   	3   
101001	bhw	4   	5   	6   	7   	8   	9   9   	10   10   	1   	2   2   	3   3   
135277	bhw	4   	5   5   5   3   	6   	7   	8   	9   	10   10   	1   1   1   29   	2   	3   
88906	bhw	4   	5   5   	6   	7   	8   	9   9   	10   10   	1   	2   2   	3   3   
139320	swe	30   30   	21   5   5   5   5   	6   6   	7   7   	8   31   31   	24   24   9   9   	23   10   10   10   10   	1   	2   	25   3   
141191	bhw	4   	5   5   5   	6   	7   	8   	9   	10   	1   	2   2   	3   3   
88909	swe	30   30   	5   5   	28   6   	7   7   7   7   	8   8   8   8   31   8   	24   	23   10   	29   	26   2   2   	25   3   3   
88911	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   1   	2   	3   
141190	bhw	4   	5   	6   	7   	31   	9   	10   	1   	2   	3   
125356	swe	30   30   	21   5   5   22   	6   	7   	8   	24   24   9   9   	23   10   10   10   10   23   	1   	2   	25   3   
141189	bhw	4   4   	5   5   	6   	7   2   	8   8   	9   	9   10   10   	1   	2   	3   3   
137254	bhw	4   	5   5   5   	6   	7   7   	8   8   	9   	10   	1   	2   2   2   	3   3   
139319	bhw	4   	5   5   	6   	7   7   	8   	9   9   	10   10   10   	1   	2   3   	3   3   
141188	bhw	4   	5   5   5   	6   6   6   	7   27   	8   8   	9   9   	10   23   	1   1   1   	2   2   2   2   	3   
141187	bhw	30   	5   	6   	7   	31   	9   	10   	1   29   	2   	3   
90546	swe	4   	21   5   5   5   	28   	7   7   7   	31   8   8   	9   9   	23   10   	29   1   1   	2   26   	3   3   3   
141186	swe	4   		28   	7   	31   	9   	23   23   10   	29   	26   2   26   	3   
141185	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
88923	swe	30   	5   5   21   	28   	7   	8   	9   	23   	29   1   	2   2   	3   3   25   
90544	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   
123364	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   	2   	3   
141184	swe	30   	22   	28   	27   	31   	24   	23   10   	29   1   	2   	25   
129436	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   2   	3   
119543	bhw	4   	5   5   	6   6   	7   7   7   	8   	9   	10   10   	1   1   	2   	3   3   
141183	bhw	4   	5   5   5   	6   6   	7   	8   	9   	10   	1   	2   26   	25   3   
139318	bhw	30   	5   22   	6   	27   27   	31   31   8   8   	9   	10   10   	1   	2   	3   
113823	bhw	4   	5   5   	6   	7   	8   8   	9   	10   10   	1   	3   	3   3   25   
127365	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
141182	bhw	4   4   4   4   	5   5   5   5   5   5   5   21   5   	6   6   	7   7   7   	8   8   8   8   	9   9   9   9   	10   23   10   	1   1   29   	2   2   	3   3   
90533	swe	30   4   	22   5   	28   6   6   	7   7   27   	31   	24   	23   10   23   	1   1   	2   	3   3   25   
110052	bhw	4   	5   21   21   5   	6   	7   	8   	9   9   	10   	1   1   1   1   	2   2   	3   3   
93912	swe	30   4   30   30   	5   5   5   5   5   	6   	27   7   7   7   	31   31   8   31   8   	24   9   9   9   9   	23   23   10   	29   1   1   	26   2   2   26   2   2   2   26   	3   3   3   3   
90530	bhw	4   	5   5   	6   	7   	8   	9   9   	10   	1   	2   2   2   	3   3   3   
127362	bhw	4   	5   	6   	7   2   	8   	9   	10   	1   	2   2   	3   
141181	bhw	4   4   	5   5   	6   	7   3   	8   	9   	10   10   	1   	3   2   2   	3   
133332	bhw	4   4   	5   	6   	7   7   7   	8   8   8   	9   9   	10   	1   	2   2   2   3   2   	3   3   
137248	bhw	4   4   	5   	6   	7   27   	31   8   	9   	10   10   10   10   	1   1   1   	2   	3   3   3   
137247	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   	2   	3   
131334	bhw	4   	5   	6   	7   	8   8   	9   	10   10   	1   1   	2   	3   
137246	bhw	4   	5   5   5   5   5   5   	6   	7   7   	8   31   	9   	10   23   10   	1   1   1   1   	2   2   2   2   	3   3   
139312	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   3   
100990	bhw	4   4   	5   	6   	7   	8   	9   	10   10   10   10   	1   1   	2   	3   
141180	bhw	4   	5   	6   6   	7   	8   	9   	10   10   	1   	2   	3   
123353	bhw	4   	5   5   	6   	7   7   	8   8   8   	9   9   	10   10   	1   	2   	3   
141179	bhw	4   	5   	6   6   	7   	8   	9   	10   	1   	2   	3   
90370	bhw	4   	5   5   	6   	7   	8   8   	9   	10   10   	1   	2   2   3   	3   3   
133329	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
97388	bhw	4   	5   5   	6   	7   7   	8   8   	9   	10   	1   1   	2   2   	3   3   3   
141178	bhw	30   		6   	7   	8   	9   	10   	1   	2   	3   3   
133328	bhw	4   	5   21   	28   27   	7   	8   	9   24   	23   10   	1   	2   2   	3   
133326	bhw	4   	5   	6   	7   7   	8   8   	9   	10   	1   	2   	3   
129429	bhw	4   	5   5   	6   6   6   	7   7   	8   8   	9   	10   10   10   23   	1   1   1   1   	2   2   2   	3   
137243	swe	30   	22   	28   	27   	31   	24   	23   	29   	26   	25   
119535	bhw	4   30   	5   5   22   5   21   	6   	7   7   	8   8   	9   9   	10   	1   1   	2   	3   
141177	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   2   	3   
106342	bhw	4   	5   5   5   5   	6   	7   7   7   	8   10   	9   	10   10   	1   	2   2   2   	3   
123348	swe	4   	21   	6   	27   7   	8   	24   	23   	29   	3   	25   
108298	bhw	4   	5   5   5   5   	6   	7   	8   8   8   	9   9   9   	10   10   10   	1   1   1   	2   2   2   2   3   2   	3   3   3   
137241	swe	30   	21   5   5   			31   	24   	23   	29   	26   	3   
123347	swe	30   	5   	28   	7   	8   	24   	23   10   	29   	26   	25   3   
100987	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   3   
137240	bhw	4   	5   5   5   	6   6   	7   7   	8   	9   9   	10   	1   1   	2   2   2   2   2   	3   3   
139307	bhw	4   4   	5   5   21   5   	6   	7   7   7   	8   	9   9   9   9   9   	10   10   	1   1   1   1   	2   	3   3   
111911	bhw		5   5   5   	6   	7   	8   	9   	10   	1   1   	26   	3   
129424	bhw	4   4   	5   5   	6   	7   	8   8   	9   	10   	1   	3   	3   3   3   
141176	bhw	4   4   	5   5   5   	6   6   6   	27   7   	8   8   	9   9   	10   6   	1   1   	2   2   	3   3   
121374	bhw	4   4   	5   5   5   5   5   	6   	7   7   	8   	9   9   9   9   9   9   	10   10   23   	1   29   	2   2   2   	3   3   3   3   
113815	swe	30   	5   22   	6   	27   7   	8   8   	24   9   	23   23   	1   1   1   	26   	3   
90399	bhw	4   	5   5   5   5   5   5   	6   	7   7   	8   31   8   	9   	10   23   10   	1   1   1   1   	2   2   2   2   	3   3   
139305	bhw	4   	5   	6   	7   2   	8   8   	9   	9   10   10   	1   	2   	3   3   
141175	bhw	4   	5   	6   	7   7   	8   	9   9   	10   	1   1   	2   2   	3   
139304	bhw	4   	5   		7   	8   	9   	6   10   	1   	3   	3   
141174	bhw	4   	5   5   5   5   21   	6   	7   	8   	9   	10   10   	1   	2   2   	3   3   
131330	bhw	4   	5   5   5   5   21   	6   	7   	8   	9   	10   10   	1   	2   2   	3   3   
141173	bhw	4   	5   5   	6   28   	7   7   	8   8   8   	9   9   9   	10   	1   	2   2   	3   3   25   
125343	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   	3   
139303	swe	30   	5   5   	28   6   	7   	31   	9   9   	23   		2   	3   
121371	swe	30   	22   	28   	27   	31   	24   	23   	29   	26   	25   25   
115642	bhw	4   	5   5   	6   	7   	8   	9   9   	10   10   10   10   	1   	2   2   	3   
133319	bhw	4   	5   	6   	7   7   	8   	9   	10   	1   	2   	3   3   3   
127353	bhw	4   	5   5   	6   	7   	8   8   8   	9   9   9   	10   	1   	2   	3   
90415	bhw	4   	5   5   	6   	7   	8   	9   		1   	2   	3   
137237	swe	30   	22   	6   6   	7   27   7   	8   	9   	23   	29   	26   2   2   	25   3   
90417	bhw	4   4   	5   	6   6   6   	7   	8   	9   	10   10   10   	1   1   1   1   	2   	3   3   
121369	swe	4   	22   5   5   5   	28   	27   7   7   7   	31   	24   	23   	29   1   	2   	25   3   3   
90419	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   1   	2   	3   
139301	bhw	4   30   4   	5   5   5   5   22   	6   	27   7   	8   31   31   	9   9   	10   8   	1   	2   2   2   	3   3   3   
131326	bhw	4   	5   	6   	7   	8   8   8   8   8   	9   	10   10   	1   	2   2   	3   
139300	bhw	4   	5   5   5   	6   	7   	8   	9   	10   	1   	2   	3   
117573	bhw	4   	5   5   	6   	7   7   	8   8   	9   	10   	1   1   1   	2   2   	3   
141172	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
141171	bhw	4   	5   5   5   21   5   	6   6   	7   7   7   	8   8   31   	9   	10   10   10   	1   	2   	3   3   3   
117572	bhw	4   	5   5   	6   	7   	8   8   	9   	10   10   10   	1   	2   	3   3   3   
137235	bhw	4   	21   	6   	7   	8   	9   9   9   	10   	1   	2   	3   
141170	bhw	4   	5   	6   6   	7   7   	8   5   8   8   	9   9   	10   10   	1   	3   2   2   	3   2   
115639	bhw	4   	5   	6   6   	7   	8   	9   9   	10   10   10   	1   	2   3   3   	3   3   
137234	bhw	4   4   	5   	6   6   	7   7   27   7   	8   	9   9   24   9   24   	10   10   23   	1   1   29   	2   	3   25   
141169	bhw	4   4   	5   5   22   	6   	7   7   	8   	2   9   9   	23   	1   	2   2   2   2   	3   3   
113806	bhw	4   4   	5   	6   	7   	8   	9   	10   10   	1   	7   	3   
141168	swe	30   	22   	28   	27   	31   	24   	23   	29   	26   	25   
125338	bhw	4   	5   5   5   5   5   5   5   	6   	7   7   	8   31   	9   	10   10   	1   	2   3   2   	3   
111899	bhw	30   	22   	28   	27   	8   	9   	10   23   23   10   10   	29   1   1   	2   2   26   	3   3   
129413	bhw	4   4   	5   5   5   5   	6   	7   7   7   	8   8   8   	9   	10   10   	1   	2   	3   25   
141167	bhw	4   4   	5   5   22   	6   	7   7   7   	8   8   8   31   	9   	10   10   10   10   	1   1   1   	2   2   2   2   	3   3   3   
95660	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
99159	bhw	4   4   4   4   	22   	6   6   	7   	8   8   	9   9   	10   10   10   	1   	2   2   2   	3   3   
102697	bhw	4   	5   5   5   22   22   	6   28   6   	7   7   	8   8   	9   	10   10   	1   1   	2   2   	3   3   3   
133315	bhw	4   	5   5   	6   	7   	8   8   	3   9   	10   10   10   	1   	2   	3   3   
141166	bhw	4   	5   5   5   	6   6   	7   7   	8   	9   9   	10   	1   1   	2   2   2   2   2   	3   3   
141165	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   	2   	3   
137231	bhw	4   	5   	6   6   		8   	9   24   	10   	1   1   	2   2   3   	3   3   
135254	bhw	4   4   4   4   	5   5   5   	6   	7   7   7   	8   8   8   8   	9   9   9   9   	10   10   10   10   10   	1   1   	2   	3   3   3   3   7   
123335	bhw	4   	5   5   	6   	7   	8   4   	9   9   	10   10   10   	1   	2   	3   
127346	bhw	4   	5   5   5   	6   	7   	8   8   	9   9   	10   10   10   10   	1   	2   	3   
133313	bhw	4   4   	5   	6   	7   	8   	9   	10   	1   1   		3   
139297	bhw	4   	5   	6   6   	7   	8   8   	9   	10   10   10   10   23   	1   1   	2   2   	3   3   
137230	bhw	4   	5   5   5   	6   	7   	8   8   8   	9   	10   	1   	2   	3   3   3   
90456	bhw	4   4   	5   	6   6   	7   	8   8   	9   	10   10   10   	1   	2   7   2   3   	3   
139296	bhw	4   	5   5   5   	6   6   	7   	8   	9   	10   	1   	2   26   	25   3   
139295	bhw	4   4   4   4   4   4   	5   5   5   5   	6   6   	7   7   7   7   7   	8   31   8   	9   9   9   9   9   9   9   9   	10   10   10   10   	1   1   1   29   	2   9   26   2   2   2   	3   3   3   3   3   25   3   
90459	bhw	4   	5   	6   	7   	8   8   8   8   	9   9   	10   10   10   	1   	2   	3   3   3   3   
141164	swe	4   	21   21   	28   6   	7   	8   8   	24   9   	23   21   10   	29   	26   	25   
139294	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	3   2   2   	3   
92150	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   7   	3   3   3   
131318	bhw	4   	5   5   5   	6   6   	7   7   	8   	9   9   	10   	1   1   	2   2   2   	3   3   
141163	bhw	4   4   	5   5   5   5   5   	6   6   6   	7   7   	8   	9   9   9   	10   10   	1   1   	2   2   2   2   2   	3   3   
121358	bhw	30   	5   	6   	7   	8   	24   	10   10   	1   	26   	3   
137228	bhw	4   	5   5   	28   	7   	8   8   	9   	10   10   10   	1   	2   	3   3   3   
127341	bhw	4   	5   	6   	7   7   	8   8   	9   9   	10   	1   	2   	3   
141162	swe	30   	22   	6   6   	7   27   7   	8   31   	9   	23   10   	29   	26   2   2   	25   3   
93888	bhw	4   4   	5   5   21   	28   6   	7   7   	8   	9   10   	10   10   10   10   	1   1   1   	2   2   2   	3   3   3   
123329	bhw	4   	5   	6   	7   	8   	9   9   	10   10   10   10   	1   	2   	3   
137227	swe	30   4   	21   5   5   21   	6   6   	7   	8   	24   	23   10   10   	29   	26   2   	3   3   3   
141161	bhw		5   5   22   5   	6   		8   8   	9   	10   10   	1   1   	2   26   7   2   	3   25   
141160	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   1   1   1   	26   	3   
141159	swe		5   	28   	27   	31   	24   	23   	29   	26   	25   
135248	bhw	4   	5   5   5   	6   	7   	8   	9   	10   10   10   	1   	2   	3   3   3   
102691	bhw	4   4   	5   	6   	7   	8   	9   9   9   	10   10   	1   	2   2   	3   3   
121353	bhw	4   4   	22   5   	6   	7   27   7   	8   	9   	10   	1   	2   	3   3   
100967	bhw	4   	5   5   5   5   	6   	7   	8   	9   	10   	1   	2   	3   
121352	bhw	4   	5   	6   	7   	8   	9   9   	10   	1   		3   3   3   
139291	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   1   1   	2   2   2   	3   
141158	bhw	4   	5   5   	28   	7   	8   8   	9   	10   10   10   	1   	2   	3   3   3   
93886	bhw	4   	5   	6   	7   	8   	9   9   	10   10   	1   	2   	3   
133304	bhw	4   	5   	6   	7   	8   8   	9   	10   10   10   	1   	2   2   	3   
137223	bhw	4   	5   5   5   5   21   5   	6   6   	7   7   	8   31   	9   9   	10   23   	1   29   	26   	3   
115631	bhw	4   	5   5   5   21   	6   	7   	8   8   8   	9   	10   	1   1   	2   	3   25   
141157	bhw	4   	5   5   	6   	7   7   7   	8   31   	9   9   	10   	1   	3   2   	3   
