Lang	Family	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
136701	bhw	4   	5   	6   6   6   	7   	8   8   8   	9   9   9   	10   	1   	2   3   	3   3   3   3   
136700	bhw	4   	5   	28   	7   7   7   	8   8   	9   9   9   	10   10   23   	1   1   	2   2   2   	3   
117014	bhw	4   4   	5   5   5   5   	6   	7   7   	8   8   8   8   8   8   	9   9   	10   10   	1   1   1   	2   2   2   2   2   	3   3   3   
82887	bhw	4   	5   5   5   	6   6   	7   7   	8   	9   	10   	1   	2   	3   3   
138748	swe	30   	21   30   5   	28   	27   	31   	24   	23   	29   	26   26   	25   
128813	bhw	4   	5   	6   	7   	8   		10   	1   	2   2   	3   
109605	bhw	4   	22   	6   	7   	8   	9   	10   10   23   	1   	2   2   2   	3   
142638	bhw	30   	5   5   	6   	7   27   	8   8   	9   	10   	1   1   	2   2   	2   3   25   3   
104071	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   		3   
134761	swe	4   	22   5   5   5   	28   	27   	31   8   	24   	23   10   	29   1   	2   	25   25   25   25   
119021	swe	30   	5   	28   		31   	24   	23   	29   1   	26   	3   
124779	swe	30   	21   5   5   22   	28   28   6   6   	7   	31   	24   24   	23   23   10   10   	29   1   	26   	25   3   3   
142637	bhw	4   	5   21   5   5   5   	28   	7   	8   	9   9   	10   	1   29   	2   	3   3   
93442	bhw	4   4   4   	5   5   5   	6   6   	7   7   7   	8   8   8   	9   10   9   10   9   	10   10   10   10   10   	1   1   1   	2   7   	3   3   3   
77413	swe	30   30   	5   5   5   5   5   	28   6   	7   	8   8   8   8   	24   	23   	1   	26   2   2   2   	
138746	swe	4   	21   5   22   5   	6   	27   	31   	24   9   	23   10   	1   	26   26   2   	25   
142636	swe	30   		28   	7   	31   	24   	23   	29   	26   	25   
126716	bhw	4   	5   	6   	7   	8   8   	9   	10   		3   	3   
142635	bhw	4   	5   	6   	7   	8   	9   9   	10   	1   	2   	3   
124777	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   
142634	bhw	4   4   	5   5   5   	6   6   6   	7   	8   	9   9   	10   10   	1   	2   2   2   	3   3   
65861	bhw	4   4   	5   5   	6   	7   7   	8   8   	9   	10   	1   	2   	3   3   
128807	swe	30   	5   5   5   5   	28   28   6   	27   	8   	24   	23   	29   	26   	3   3   
105667	bhw	4   4   	5   5   	6   6   	7   	8   	9   9   	10   	1   	3   2   2   	3   3   
80125	bhw	4   4   	5   5   5   5   	6   6   	7   7   	8   8   8   8   8   	9   	10   	1   29   	2   2   	3   
80124	bhw	4   	5   5   	6   		31   	9   9   	10   	1   	2   	3   
132772	bhw	4   	5   5   5   	28   	7   	8   	9   	10   	1   1   1   29   	2   2   2   	3   
81513	bhw	4   4   	5   5   22   5   	6   	7   7   7   7   	8   8   	9   9   	10   10   10   	1   	2   2   	2   25   3   
142633	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   
90309	bhw	4   	5   	6   6   	7   7   	31   	9   	10   10   	1   	3   2   	3   
120873	bhw	4   30   	5   5   5   5   5   5   	6   6   28   	7   	8   8   8   8   31   	9   9   9   	10   10   	1   29   	2   2   2   	3   25   
126711	bhw	4   4   	5   5   	6   6   	7   7   3   7   	8   	9   	10   10   	1   	2   	3   3   
142632	bhw	4   	5   	6   28   	7   	8   	9   	10   10   	1   1   1   	2   2   	3   3   3   3   3   3   
71808	swe	30   4   4   	5   	28   6   	7   7   7   7   7   	31   8   8   	24   9   24   24   	23   23   10   	29   29   1   	26   2   2   	25   3   25   
107674	swe	30   4   	21   5   5   	28   6   	7   7   	31   8   8   8   	24   	23   	29   	26   2   2   	25   
80097	bhw	4   4   4   	5   5   5   5   	6   	7   7   7   	8   8   31   	9   9   9   	10   10   10   	1   	2   2   2   2   2   2   2   26   	25   3   
100452	bhw	4   	5   5   5   	6   	7   	8   	9   	10   	1   	2   2   	3   
124773	bhw	4   4   	5   	6   	7   7   	8   8   	9   9   	10   10   	1   1   	2   	3   
130845	bhw	4   4   	5   5   	6   6   	7   	8   	9   9   3   	10   	1   	2   2   	3   
132770	bhw	4   	5   	6   	7   	8   	9   24   	10   23   	1   	2   	3   3   
95238	swe	30   	21   5   5   5   	28   	27   7   	31   	24   9   9   	23   10   10   	29   1   	26   2   2   	3   3   
142631	bhw	4   	5   5   	6   28   6   	7   	8   	24   9   9   	10   10   	1   1   	2   	3   25   
142630	swe	30   	5   	28   	27   		24   	23   	29   	2   	3   
102271	swe	30   4   	21   	28   	27   7   	31   	24   9   	23   10   23   	29   	26   	3   
87193	bhw	4   	5   5   5   5   5   	6   	27   	8   8   	9   9   9   9   	10   23   10   	1   	2   2   2   2   26   	3   3   3   
95237	bhw	4   4   	5   	6   	7   27   	8   	9   	10   	1   	2   	3   3   3   
111361	bhw	4   4   30   	5   	6   	7   	8   8   31   	9   9   	10   	1   1   29   1   1   	2   2   	3   3   3   3   3   
126708	swe	30   	21   	28   6   	27   	31   	24   9   	23   	29   	26   2   3   3   	25   3   
138739	bhw	4   	5   5   	6   	7   	8   8   	2   9   	10   	1   	2   3   3   	3   
68864	swe	30   30   	21   5   5   5   22   	28   6   	27   27   	8   8   8   	24   24   9   	23   	29   1   1   1   	2   7   2   	3   2   3   
142629	bhw	4   4   	5   	6   6   6   	7   7   	8   	9   9   9   	10   10   10   	1   1   	2   	3   3   
102270	swe	4   	21   	6   	7   7   	8   	24   	23   	29   	26   2   2   2   	3   3   
142628	swe	4   	21   5   	28   	27   7   7   7   	8   8   	24   	23   	29   	26   2   2   	25   
104058	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   3   
132767	bhw	4   	5   	6   	7   	8   	9   	3   10   	1   1   	2   	3   
96954	bhw		5   	6   	7   7   	8   		10   	1   1   	7   	3   
119013	swe	30   	21   	28   	27   	8   	24   	23   10   	29   1   	2   	3   
142627	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
128802	swe	30   	22   	28   	27   	8   	24   	10   	1   	26   	3   3   3   
138738	swe	30   	21   22   5   	6   	7   	8   	9   	23   	1   1   1   	26   2   	3   3   
82870	swe	30   	22   	28   	7   	8   	24   	23   	29   	2   	25   
82869	bhw	4   	5   5   5   	6   6   6   	7   	8   	9   9   9   9   9   9   9   	10   	1   1   	2   	3   3   
96952	bhw	4   	5   5   5   	6   	7   7   7   	8   	2   9   9   9   	10   	1   	2   2   2   2   	3   3   
5280	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
142626	bhw	4   	5   5   5   5   5   	6   	7   7   	8   	9   9   	10   	1   	2   2   2   2   26   26   	3   9   3   10   3   
80115	bhw	4   4   	5   5   	28   6   	7   	8   31   8   	9   9   	10   	1   	2   2   26   2   	3   
138737	bhw	4   4   4   	21   5   22   5   5   5   	6   6   	27   7   	8   8   8   8   8   8   	9   9   	10   	1   	2   2   2   7   2   2   	3   3   
87190	bhw	4   4   	5   22   5   21   5   	6   6   6   	7   7   7   7   7   	8   8   8   	9   24   9   9   24   9   	10   23   10   	1   4   	3   26   3   2   26   2   2   	3   
105663	bhw	4   	5   	6   	7   	8   	9   	10   	1   	3   	3   3   
124768	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   
