Lang	Latitude	Longitude	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
369	-3,29729729729713	29,9099099099108	āː s w    	s o æː ɗ    	āː f k    	w ʃː æː o m    	a s m f ẽ ɗ    	k ɔˑ j ɗ    	s ɗ ɔ̃ː ɔ̃ː    	a w ɗ    	āː ɗ m    	f j a k    
370	-3,29729729729713	28,108108108109	s ɔ̃ w    	u s e r    	ɔ̃ f cː    	w u e n m    	s ə m f ɔ̃u r    	ts ɔ̃u cː r    	s r u u    	ə w r    	i r m    	f ts ə cː    
371	-6,45045045045028	21,3513513513523	i s t    	s o ə l    	i tɕʰ k    	t o ə n m    	ʊː s m tɕʰ ɔ̃ː l    	k o j l    	s l ɔ̃ː ɔ̃ː    	ʊː t l    	i l m    	j tɕʰ ʊː k    
372	-21,7657657657656	18,1981981981991	i s w    	o ɗː e d̪    	dʑ i k    	w o n e m    	s ɔˑ m dʑ u d̪    	k j o d̪    	s u r u    	ɔˑ w d̪    	r i m    	dʑ j ɔˑ k    
374	-12,7567567567566	32,6126126126135	s i kʼ    	tsʰ o e β    	s i cː    	o d̪ʰ kʼ e m    	s ʌ s m ɨ̠ β    	cː s o β    	s β aːi aːi    	a kʼ β    	β i m    	s ʌ s cː    
375	-9,60360360360343	33,9639639639649	s i kʼ    	o tsʰ õ r    	ʒ i cː    	o kʼ qʰ õ m    	s a m ʒ e̞ r    	cː s o r    	s r e̞ e̞    	a kʼ r    	i r m    	ʒ a s cː    
376	-8,70270270270253	30,8108108108117	ɐu dʲː ɯ̱    	o tsʰ e r    	ʒ ɐu cː    	o ɯ̱ n e m    	dʲː a m ʒ u r    	cː dʲː o r    	dʲː r u u    	a ɯ̱ r    	r ɐu m    	ʒ a dʲː cː    
377	-1,49549549549533	29,0090090090099	i ˀd w    	o e ˀd pʲ    	i ɓ cː    	w o θ e ʋ    	yː ˀd ʋ ɓ u pʲ    	ˀd cː o pʲ    	u ˀd r u    	a w pʲ    	i r ʋ    	ˀd ɓ yː cː    
378	-6,45045045045028	27,6576576576586	s i w    	ɬ o œ d̪    	i f k    		s m f ə æ̃ d̪    	k o j d̪    	s r u u    	ə w d̪    	i r m    	f j ə k    
379	-5,99999999999983	24,5045045045054	s i w    	s o e d̪    	i f s    	w ŏ n e m    	s ɔˑ m f u d̪    	s ts ŏ d̪    	s b̥ u u    	ɔˑ w d̪    	b̥ i m    	f ts ɔˑ ʈʰ    
380	3,00900900900918	20,0000000000009	s i ʁˤ    	eɪ m e pʲ    	i f cː    	ʁˤ n eɪ e m    	s a m u f pʲ    	s cː eɪ pʲ    	u s r u    	a ʁˤ pʲ    	i r m    	s f a cː    
381	-15,9099099099097	15,9459459459469	oːu jˀ w    	o ɔ̃ jˀ r    	oːu f k    	w o n ɔ̃ ɬ    	jˀ ʉ ɬ f u r    	k k o r    	jˀ u r u    	w ʉ r    	r oːu ɬ    	f k ʉ k    
382	-12,7567567567566	19,5495495495505	s au fʲ    	s e e r    	f au cː    	fʲ e e n m    	s m a f u r    	cː t̪ e r    	s u r u    	fʲ a r    	r au m    	f t̪ a cː    
383	-3,74774774774758	31,7117117117126	õ s tsː    	u s u r    	f õ cː    	tsː u u n m    	s ə m f o r    	t̪ cː o r    	s r u u    	ə tsː r    	õ r m    	f t̪ ə cː    
384	-5,09909909909893	21,8018018018027	i s ˀb    	o œ s d̪    	i dʑ k    	ˀb o n œ ȵ    	s ɔˑ ȵ dʑ u d̪    	k j o d̪    	s r u u    	ɔˑ ˀb d̪    	r a̱ ȵ    	dʑ j ɔˑ k    
385	-2,84684684684668	24,054054054055	s iɛ w    	eɪ e s pʲ    	i f jˀ    	w eɪ n e dʲ    	s a dʲ f u pʲ    	s cː eɪ pʲ    	s u r u    	a w pʲ    	r iɛ dʲ    	f s a jˀ    
386	1,20720720720738	25,4054054054063	aːi ȵ ʌ    	ɛ ʈ    	ɧ ʉː    	ɛ s k sː    	t aːi ʌ    	t r uɔ    	v t oː    	ʌ tː a    	ɑi f dʲ    	yː f r a    
387	-4,64864864864848	27,6576576576586	i s w    	o s e ɗ    	i f k    	w ʃː o e m    	a s m f ẽ ɗ    	k o j ɗ    	ɔ̃ː s ɗ ɔ̃ː    	w a ɗ    	ɗ i m    	f j a k    
388	-2,39639639639623	19,5495495495505	i h t    	o h o l    	i ŋ̩ k    	t o n o m    	h m ũ ŋ̩ ɔ̃ː l    	k o j l    	h l ɔ̃ː ɔ̃ː    	ũ t l    	i l m    	j ŋ̩ ũ k    
389	2,10810810810828	26,7567567567577	s i t    	s o ə r    	i f k    	t n o i m    	a m s f ɑ r    	k o j r    	s r ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j a k    
390	-5,99999999999983	22,7027027027036	s i w    	s o e d̪    	i f s    	w ə n e m    	s ɔˑ m f ia d̪    	s j ə d̪    	s ia b̥ ia    	w ɔˑ d̪    	i b̥ m    	f j ɔˑ s    
391	2,10810810810828	31,2612612612622	dː aːi ɔ    	eː g̊    ɛ ðː    	n̊ ʉː    	ɛ ʃː k sː    	aːi t ɔ    	t r uɔ    	v t oː    	dʲ ɔ a    	p ɨ m    	p yː r a    
392	-6,90090090090073	22,2522522522532	s i kʼ    	o e tsʰ r    	f i cː    	kʼ o n e m    	s ʌ m f u r    	cː s o r    	s r u u    	a kʼ r    	r i m    	f s ʌ cː    
393	-1,04504504504488	25,4054054054063	i s w    	o s e ɗ    	i x k    	w ʃː o e m    	æ̃ s m x uɔ ɗ    	o k j ɗ    	s ɗ aːu aːu    	æ̃ w ɗ    	i ɗ m    	x j æ̃ k    
394	3,90990990991008	20,0000000000009	i s t    	s œː ə r    	i f b    	t œː n ə m    	a s f m o r    	b œː j r    	r s ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j ɒ b    
395	-8,25225225225208	22,7027027027036	i s t    	s o ə rʷ    	i z ⁿd    	t o n ə m    	a s z m ɔ̃ː rʷ    	ⁿd o j rʷ    	s rʷ ɔ̃ː ɔ̃ː    	t a rʷ    	rʷ i m    	z ɒ j ⁿd    
396	4,36036036036053	24,054054054055	n aːi ɔ    	eː ɽ    	ʉː ɧ    	ɛ s k tɕ    	ɸ aːi ɔ    	ɸ r uɔ    	v ɸ œː    	ɔ tː a    	ɛ f m    	f r yː a    
397	-5,99999999999983	21,8018018018027	s ɑː kʼ    	e o tsʰ r    	ʒ ɑː cː    	o kʼ n e m    	s a m ʒ u r    	cː s o r    	s r u u    	a kʼ r    	r ɑː m    	ʒ a s cː    
398	1,65765765765783	22,7027027027036	i s w    	o s ɑ̠ ʃʰ    	i f k    	w ə n ɑ̠ m    	s ɔˑ m f ɐː ʃʰ    	k ə kp ʃʰ    	s b̥ u u    	w ɔˑ ʃʰ    	i b̥ m    	f kp ɔˑ k    
399	2,55855855855873	19,5495495495505	s i t    	s ɐ o r    	i f k    	t o ⁿt i m    	a s m iɛ f r    	k o j r    	s r ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j a k    
400	3,00900900900918	21,8018018018027	ɗ ɔ t    	o ɗ au pʲ    	f ɔ cː    	t ui n au m    	ɗ ɛ̃ m f u pʲ    	cː ɗ ui pʲ    	ɗ r u u    	t a pʲ    	ɔ r m    	ɛ̃ ɗ f cː    
401	-10,5045045045043	25,8558558558568	lʲ i m    	o lʲ e r    	f i cː    	w o e n m    	lʲ a m f ɪ r    	cː t̪ o r    	lʲ r u u    	a w r    	i r m    	f t̪ a cː    
402	-8,25225225225208	31,7117117117126	i s w    	o s e ɗ    	i f k    	w ʃː o e m    	s æ̃ m f ẽ ɗ    	k o j ɗ    	s ɗ i̟ i̟    	w æ̃ ɗ    	ɗ i m    	f j æ̃ k    
403	-1,94594594594578	25,8558558558568	s i t    	ʈ o ə r    	i f b    	t o n ə m    	a s f m œː r    	b o j r    	r s uo uo    	a t r    	r i m    	f j ɒ b    
404	-7,80180180180163	33,063063063064	s i w    	s o ɛ̃ ʃʰ    	i f k    	w ə n ɛ̃ m    	s ɔˑ m f u ʃʰ    	ə k kp ʃʰ    	s b̥ u u    	w ɔˑ ʃʰ    	i b̥ m    	f kp ɔˑ k    
405	-12,7567567567566	26,7567567567577	s i w    	ɔ o s r    	f i k    	w o n ɔ m    	s u m f u r    	k k o r    	s u m u    	u w r    	r i m    	f k u k    
406	-9,60360360360343	25,8558558558568	i s w    	s o e tsʲ    	f i cː    	w o e n m    	s a m f u tsʲ    	cː t̪ ai tsʲ    	tsʲ s u u    	w a tsʲ    	tsʲ i m    	f t̪ a cː    
407	-11,4054054054052	26,3063063063072	k i pʰ    	k e o r    	f i kʲ    	wʲ o e n pʰ    	k a pʰ f u r    	kʲ o tʲ r    	k r u u    	wʲ a r    	i r pʰ    	f tʲ a kʲ    
408	-3,29729729729713	24,5045045045054	i ⁿdʑ t    	ⁿdʑ œː ə r    	i f b    	t œː n ə m    	a ⁿdʑ f m o r    	b j œː r    	ⁿdʑ r ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j ɒ b    
409	-6,90090090090073	23,1531531531541	s i ˀn    	s o ɛ̃ ʃʰ    	i f ŋ    	ˀn ə ɬ ɛ̃ m    	s ɔˑ m f u ʃʰ    	ŋ ə kp ʃʰ    	s c u u    	ɔˑ ˀn ʃʰ    	c i m    	kp ɔˑ f ŋ    
410	-8,70270270270253	27,2072072072081	s i w    	u s ə r    	f i cː    	w u ə n m    	s m ə f ɔ̃u r    	t̪ ɔ̃u cː r    	s r u u    	ə w r    	i r m    w u ə n m    	f t̪ ə cː    
411	-7,35135135135118	29,0090090090099	i s jˀ    	ɛ̃ s ə r    	f i k    	jˀ ɛ̃ tɕ ə m    	s a m f oˑ r    	k j ɛ̃ r    	s r oˑ oˑ    	a jˀ r    	i r m    	f j a k    
412	-12,7567567567566	19,0990990991	s i w    	o s ə d̪    	dʑ i ɖʐ    	w o n ə m    	s ɔˑ m dʑ u d̪    	ɖʐ j o d̪    	s r u u    	ɔˑ w d̪    	i r m    	dʑ j ɔˑ ɖʐ    
413	-10,0540540540539	26,7567567567577	s i w̃    	s o e tsʲ    	f i ɕː    	w o e n w̃    	s a w̃ f u tsʲ    	cː o tʲ tsʲ    	s tsʲ u u    	w a tsʲ    	i tsʲ w̃    	f tʲ a ɕː    
414	0,756756756756926	29,4594594594604	n aːi ɔ    	ɛ ɓ    	ɧ ɯ̆    	ɛ s j sː    	t aːi ɔ    	r t uɔ    	t v ʏ    	β ɔ a    	ɨi f m    	f yː r ɤ    
415	-10,0540540540539	21,3513513513523	s i rʲ    	o ɑˑ s r    	i f k    	rʲ o n ɑˑ m    	s ɔˑ m f u r    	k k o r    	s u t u    	rʲ ɔˑ r    	i r m    	f k ɔˑ k    
416	-8,70270270270253	15,4954954954964	s i w    	o œ s d̪    	i f k    	w o f œ ʡ    	s ə m f u d̪    	k d o d̪    	s r u u    	w ə d̪    	i r ʡ    	d f ə k    
417	-7,80180180180163	24,9549549549559	ȵ e ɔ    	g̊ ɨˑ    ɛ ʑ    	ɧ ʉː    	ɛ k s sː    	e t ɔ    	t r uɔ    	v t oː    	ɔ tː a    	f ɑi ɓ    	f yː r a    
418	-7,80180180180163	27,6576576576586	s i w    	o s ɛ̃ ʃʰ    	i f hː    	w ə n ɛ̃ m    	s ɔˑ m f ɐː ʃʰ    	hː kp ə ʃʰ    	s b̥ u u    	w ɔˑ ʃʰ    	i b̥ m    	f kp ɔˑ hː    
419	-5,54954954954938	29,0090090090099	s i w    	o ɬ œ d̪    	i f k    		s m ə f y d̪    	k h o d̪    	s r u u    	ə w d̪    	i r m    	f h ə k    
420	2,55855855855873	24,9549549549559	s i χʷ    		i mʲ cː    	χʷ o n e m    	s ɨˤ m mʲ o pʲ    	cː s o pʲ    	s o r u    	a χʷ pʲ    	i r m    	s ɨˤ mʲ cː    
421	-9,15315315315298	22,2522522522532	s au gː    	s aː o r    	f au cː    	gː o aː n m    	s m a f u r    	cː t̪ o r    	s r u u    	gː a r    	r au m    	f a t̪ cː    
422	-7,35135135135118	23,6036036036045	dː i t    	dː o o̞ː r    	i ŋ̩ k    	t o rʲ o̞ː m    	ʊː dː m ŋ̩ ɔ̃ː r    	k o j r    	r dː ɔ̃ː ɔ̃ː    	ʊː t r    	i r m    	ŋ̩ j ʊː ˀl    
423	-7,80180180180163	24,054054054055	s i w    	eɪ s e pʲ    	f i cː    	w eɪ n e dʲ    	s a f dʲ u pʲ    	s cː eɪ pʲ    	s u w u    	w a pʲ    	w i dʲ    	s f a cː    
424	3,00900900900918	20,4504504504514	i s t    	s ia ə r    	f i b    	t ia n ə m    	a s f m ɔ̃ː r    	b ia j r    	s ɔ̃ː r ɔ̃ː    	a t r    	r i m    	f j oi b    
425	-11,4054054054052	28,108108108109	lʲ i ȶ    	lʲ o e r    	f i cː    	w o e n ȶ    	lʲ a ȶ f e̱ r    	cː t̪ o r    	lʲ r u u    	w a r    	i r ȶ    	i r ȶ    f t̪ a cː    
426	-9,15315315315298	27,6576576576586	i s t    	s o ə dʷ    	i f tʼ    	t n o ə tʰ    	a s f tʰ ɔ̃ː dʷ    	o ɲ tʼ dʷ    	s dʷ ɔ̃ː ɔ̃ː    		au dʷ tʰ    	f ɲ a tʼ    
427	-6,90090090090073	22,7027027027036	i s t    	o s au pʲ    	f i cː    	t o n au m    	s ɛ̃ m f u pʲ    	cː o s pʲ    	s r u u    	a t pʲ    	i r m    	s f ɛ̃ cː    
428	-10,0540540540539	25,8558558558568	i s w    	s o e j    	f i cː    	w o e n m    	s a m f u j    	cː t̪ o j    	j s u u    	w a j    	j i m    	f t̪ a cː    
429	2,55855855855873	31,7117117117126	n aːi ɔ    	oː ˀl    ɓ ɛ    	ɧ ʉː    	ɛ s j sː    	t aːi ɔ    	r t ɔ    	v t ʏ    	tː ɔ a    	f ɨi m    	f yː r a    
430	2,10810810810828	19,0990990991	ɸ i w    	o ɟ e pʲ    	i f d̪    	w o n e m    	ɸ e̠ m f u pʲ    	d̪ ɸ o pʲ    	ɸ u pʰ u    	e̠ w pʲ    	ŋ i m    	ɸ f e̠ d̪    
431	-2,84684684684668	28,5585585585595	i ˀd w    	o e ˀd pʲ    	i ɓ cː    	w o θ e m    	ˀd ɨˤ m ɓ u pʲ    	ˀd cː o pʲ    	ˀd u lʱ u    	a w pʲ    	lʱ i m    	ˀd ɓ ɨˤ cː    
432	-6,90090090090073	20,4504504504514	i s w    	s əɯ ə̥ ɦ    	i dʑ k    	w əɯ n ə̥ m    	s ɔˑ m dʑ u ɦ    	k j əɯ ɦ    	s r u u    	ɔˑ w ɦ    	r i m    	dʑ j ɔˑ k    
433	-4,19819819819803	32,1621621621631	ʀ i w    	õ ʀ e r    	f i ŋ    	w õ e ʁ m    	ʀ ə m f ɔ̃ r    	ɔ̃ t̪ ŋ r    	ʀ r õ õ    	ə w r    	i r m    	f t̪ ə ŋ    
434	4,36036036036053	20,4504504504514	i ɗ t    	o ɗ au pʲ    	f i cː    	t ui n au m    	ɗ ɛ̃ m f u pʲ    	cː ɗ ui pʲ    	ɗ r u u    	t a pʲ    	i r m    	ɗ ɛ̃ f cː    
435	-6,45045045045028	23,1531531531541	s i w    	s o e t̪    	i f s    	w ŏ n e m    	s ɔˑ m f u t̪    	s j ŏ t̪    	s b̥ u u    	ɔˑ w t̪    	b̥ i m    	f j ɔˑ ʈʰ    
436	-9,60360360360343	24,054054054055	s i w    	ɜː s ɛ̃ d̪    	f i ʃʰ    	w ø n ɛ̃ m    	s ă m f u d̪    	v ʃʰ ø d̪    	s b̥ u u    	w ă d̪    	i b̥ m    	f v ă ʃʰ    
437	-11,8558558558557	22,7027027027036	dː i t    	dː o ə r    	i ŋ̩ k    	t o n ə bː    	ĩ dː m ŋ̩ ɔ̃ː r    	k o j r    	r dː ɔ̃ː ɔ̃ː    	t ĩ r    	i r m    	ŋ̩ j ĩ k    
438	-4,64864864864848	22,7027027027036	dʲ iː w    	o dʲ au pʲ    	f iː cː    	w au o n ʂ    	dʲ a ʂ f u pʲ    	cː dʲ o pʲ    	dʲ r u u    	w a pʲ    	e˞ r ʂ    	dʲ f a cː    
439	-5,54954954954938	28,5585585585595	s i w    	o s iɔ sʲ    	f i cː    	w o j iɔ m    	s a m f u sʲ    	cː s o sʲ    	s r u u    	w a c    	r i m    	s f a cː    
440	-4,19819819819803	25,4054054054063	ȵ aːi ʌ    	ɛ ʈ    	ɧ ʉː    	ɛ s k sː    	t aːi ʌ    	t r uɔ    	v t oː    	ʌ tː a    	f ɑi dʲ    	yː f r a    
441	-5,09909909909893	28,108108108109	i s w    	s o ɛ̃ ʃʰ    	i f k    	w ə n ɛ̃ m    	s ɔˑ m f aːi ʃʰ    	ə k k ʃʰ    	s b̥ aːi aːi    	w ɔˑ ʃʰ    	i b̥ m    	f k ɔˑ k    
442	-3,74774774774758	22,2522522522532	s i t    	s o ə r    	i f k    	t n o i m    	a s f m ɔ̃ː r    	k o j r    	s r ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j a k    
443	3,90990990991008	18,1981981981991	ɸ i w    	o e ɸ pʲ    	f i d̪    	o w n e ʕ    	ɸ e̠ f m u pʲ    	d̪ ɸ o pʲ    	ɸ u pʰ u    	e̠ w pʲ    	r i ʕ    	ɸ f e̠ d̪    
444	2,55855855855873	23,1531531531541	s i t    	o s au pʲ    	f i cː    	t o n au m    	s ɛ̃ m f u pʲ    	cː s o pʲ    	s r u u    	a t pʲ    	i r m    	s f ɛ̃ cː    
445	-6,45045045045028	24,054054054055	s i w    	s o e d̪    	i f s    	w ə n e m    	s ɔˑ f m ia d̪    	s j ə d̪    	s ia b̥ ia    	ɔˑ w d̪    	b̥ i m    	f j ɔˑ s    
446	-9,60360360360343	16,3963963963973	i s rʲ    	o ɑˑ s r    	i f k    	rʲ o n ɑˑ m    	s f ɔˑ m u r    	k k o r    	s u r u    	rʲ ɔˑ r    	r i m    	f k ɔˑ k    
447	-8,70270270270253	23,1531531531541	i θ w    	o θ e r    	ɕʲ i cː    	w e o n m    	θ m a ɕʲ u r    	cː t̪ o r    	θ r u u    	w a r    	r i m    	ɕʲ t̪ a cː    
448	3,45945945945963	24,5045045045054	n aːi ɔ    	eː g̊    ʈ ɛ    	ʉː dʷ    	ɛ k s sː    	aːi t ɔ    	t r uɔ    	v t oː    	ɔ tː a    	bʲ ɯi ɓ    	bʲ yː r a    
449	-9,15315315315298	23,6036036036045	i s t    	o s ə rʷ    	i z ⁿd    	t o n ə m    	a s z m ɔ̃ː rʷ    	ⁿd o sː rʷ    	s rʷ ɔ̃ː ɔ̃ː    	t a rʷ    	rʷ i m    	z ɒ sː ⁿd    
450	0,756756756756926	25,4054054054063	n aːi ɔ    	ɽ eː    	ɧ ʉː    	ɛ s k tɕ    	ɸ aːi ɔ    	ɸ r uɔ    	v ɸ œː    	ɔ tː a    	f ɛ m    	f r yː a    
451	-6,45045045045028	23,6036036036045	s ɑː kʼ    	o æ̃ tsʰ r    	ʒ ɑː cː    	kʼ o n æ̃ m    	s a m ʒ u r    	cː s o r    	s r u u    	a kʼ r    	r ɑː m    	ʒ a s cː    
452	-4,64864864864848	23,1531531531541	s ɛi w    	o s au pʲ    	f ɛi cː    	w o au n ʂ    	s a ʂ f u pʲ    	cː s o pʲ    	s u r u    	a w pʲ    	e˞ r ʂ    	s f a cː    
453	-5,09909909909893	33,063063063064	s i w    	s ɘ au sʲ    	f i sː    	w ɘ j au m    	s ɜ m f u sʲ    	sː s ɘ sʲ    	s r u u    	w ɜ c    	i r m    	s f ɜ sː    
454	-9,15315315315298	25,4054054054063	ə s w    	s o e r    	ə f cː    	w o e n m    	s a m f u r    	cː t̪ o r    	s r u u    	a w r    	r ə m    	f t̪ a cː    
455	-14,1081081081079	23,1531531531541	qχ i rʲ    	o ɑˑ qχ r    	i f k    	rʲ n o ɑˑ nʲ    	qχ ɔˑ nʲ f u r    	k k o r    	qχ u r u    	ɔˑ rʲ r    	r i nʲ    	f k ɔˑ k    
456	-10,5045045045043	33,9639639639649	s i w    	s o ɛ̃ ʃʰ    	i f k    	w ə n ɛ̃ m    	s ɔˑ m f u ʃʰ    	ə k kp ʃʰ    	s b̥ u u    	w ɔˑ ʃʰ    	i b̥ m    	f kp ɔˑ k    
457	-14,5585585585584	25,8558558558568	s i w    	ɔ o s r    	f i k    	w o n ɔ m    	s u m f u r    	k k o r    	s m u u    	u w r    	r i m    	f k u k    
458	-10,5045045045043	24,9549549549559	k i pʰ    	k o e r    	f i cː    	wʲ o e n pʰ    	k a pʰ f u r    	cː o sʰ r    	k r u u    	wʲ a r    	i r pʰ    	f a sʰ cː    
459	-13,207207207207	22,2522522522532	d̪ i w    	o ɑˑ d̪ r    	f i k    	w o n ɑˑ m    	d̪ u m f u ɸ    	k k o ɸ    	d̪ u m u    	w u ɸ    	r i m    	f k u k    
460	-10,0540540540539	23,1531531531541	s i w    	œ iə s θ    	i β k    	w iə β œ ʡ    	s ə m β u θ    	k j iə θ    	s r u u    	w ə θ    	r i ʡ    	j ə β k    
461	-11,8558558558557	29,9099099099108	s i w    	u s ə r    	f i cː    	w u ə n m    	s m ə f ɔ̃u r    	t̪ ɔ̃u cː r    	s r u u    	ə w r    	i r m    w u ə n m    	f t̪ ə cː    
462	1,65765765765783	26,7567567567577	n aːi ɔ    	ɓ ɛ    	ɧ aˑ    	ɛ s j sː    	t aːi ɔ    	t r uɔ    	t v ʏ    	β ɔ a    	ɨi f m    	f yː r ɤ    
463	-8,25225225225208	30,8108108108117	s i kʼ    	aː tsʰ e β    	s i cː    	aː kʼ n e m    	s ʌ m s u β    	cː s aː β    	β s u u    	a kʼ β    	β i m    	s ʌ s cː    
464	1,20720720720738	23,6036036036045	r̃ i w    	o au r̃ kʷ    	i f ɹ    	w o j au m    	r̃ a m f u kʷ    	ɹ r̃ o kʷ    	r̃ r u u    	a w ts    	r i m    	r̃ f a ɹ    
465	-9,15315315315298	31,7117117117126	s u t    	o ʈ ə r    	u f b    	t o n ə m    	a s f m ɔ̃ː r    	b o j r    	s r ɔ̃ː ɔ̃ː    	a t r    	r u m    	f j ɒ b    
466	-2,39639639639623	24,5045045045054	i s t    	s o ə r    	i f k    	t o z̩ i m    	a s m ɔ̃ː f r    	k o j r    	s ɔ̃ː r ɔ̃ː    	a t r    	r i m    	f j a k    
467	-10,9549549549548	23,1531531531541	i s mˀ    	s o a̤ː r    	i f cː    	mˀ o a̤ː n m    	s a m f u r    	cː t̪ o r    	s u r u    	a mˀ r    	r i m    	f t̪ a cː    
468	3,45945945945963	28,5585585585595	n aːi i    	ʀ eː    ɓ ɛ    	ɧ ʉː    	ɛ s j sː    	t aːi i    	t r i    	v t ʏ    	tː i a    	f ɨi m    	f yː r a    
469	-10,0540540540539	25,4054054054063	s i w    	s u e r    	kʼ i cː    	w u e n m    	s ə m kʼ ɔ̃u r    	t̪ ɔ̃u cː r    	s r u u    	ə w r    	i r m    w u e n m    	kʼ t̪ ə cː    
470	-5,54954954954938	23,1531531531541	s i w    	o s ɛ̃ ʝ    	i f χ    	w ø n ɛ̃ m    	s ă f m ʌ ʝ    	χ kp ø ʝ    	s b̥ u u    	ă w ʝ    	b̥ i m    	f kp ă χ    
471	-13,6576576576575	33,5135135135144	s əu w    	āː s e ȶ    	əu ŋː cː    	āː w e n m    	s ə m ŋː āː ȶ    	t̪ cː āː ȶ    	s ȶ āː āː    	ə w ȶ    	ȶ əu m    	ŋː ə t̪ cː    
472	-6,90090090090073	29,0090090090099	s ie t    	o s ə dː    	ie f ⁿd    	t o n ə m    	a s f m ɔ̃ː dː    	ⁿd o j r    	r s ɔ̃ː ɔ̃ː    	t a dː    	r ie m    	f j ɒ ⁿd    
